1	5	21	13	0
23	1	13	3	0
30	0	7	3	0
34	1	4	1	0
35	0	3	2	0
36	0	3	1	0
38	0	2	0	0
14	4	17	4	1
0	0	1	32	7
11	14	6	6	3
4	3	20	10	3
33	0	1	6	0
11	0	26	3	0
31	1	7	1	0
27	1	9	3	0
30	0	7	3	0
2	22	12	2	2
0	3	11	17	9
17	7	7	4	5
34	0	5	1	0
0	0	1	2	37
0	0	9	27	4
3	4	8	11	14
32	1	6	0	0
24	12	2	1	0
2	9	11	17	0
0	33	1	5	0
28	1	7	3	0
31	0	6	1	0
25	0	10	2	1
0	2	26	10	0
30	2	3	3	0
6	1	23	8	0
27	0	7	3	0
5	9	19	3	0
0	9	17	10	0
29	0	7	0	0
32	1	1	1	0
26	6	2	1	0
27	1	6	1	0
23	2	7	3	0
25	1	5	4	0
28	0	7	0	0
2	1	11	15	5
27	0	5	1	1
12	9	10	0	3
3	10	15	3	3
25	1	6	2	0
29	1	4	0	0
26	0	8	0	0
2	2	24	5	0
27	0	1	3	2
27	0	4	1	0
15	4	9	4	0
21	2	8	1	0
20	1	11	0	0
27	1	1	3	0
3	0	7	17	4
9	1	13	8	0
0	0	28	2	1
25	0	4	1	1
10	3	7	11	0
30	0	1	0	0
21	0	4	5	1
20	1	8	2	0
20	6	4	1	0
16	5	4	4	1
0	30	0	0	0
23	0	6	0	1
11	0	5	14	0
13	13	4	0	0
24	1	4	0	1
16	4	5	3	2
27	0	3	0	0
26	1	3	0	0
2	6	9	6	6
21	0	5	3	0
21	1	3	4	0
9	2	10	7	1
22	2	4	0	0
22	4	1	1	0
13	5	9	1	0
21	3	4	0	0
19	0	7	2	0
12	7	9	0	0
2	0	14	11	1
0	1	2	7	18
20	1	4	2	0
16	1	8	2	0
2	7	11	4	3
1	3	5	16	2
12	2	10	3	0
23	1	3	0	0
24	0	2	1	0
3	1	9	12	2
1	11	12	3	0
2	1	3	17	4
0	0	2	22	3
0	3	8	3	13
17	1	6	3	0
14	1	10	2	0
23	0	3	1	0
8	5	7	7	0
2	22	1	1	0
2	9	3	12	0
2	18	4	2	0
15	0	9	2	0
14	6	5	1	0
0	0	14	12	0
7	0	7	8	4
5	15	4	0	2
18	1	5	2	0
12	2	9	3	0
20	0	6	0	0
0	23	2	1	0
0	1	10	15	0
18	2	6	0	0
1	5	16	4	0
16	2	5	2	0
1	18	4	1	1
1	1	9	14	0
12	0	7	6	0
18	0	2	5	0
3	4	7	9	2
2	3	11	9	0
16	3	5	1	0
2	5	6	9	3
7	1	9	6	1
2	2	3	2	15
2	1	3	16	2
11	11	2	0	0
0	1	13	10	0
8	0	9	6	1
0	1	7	14	2
1	3	8	11	1
8	0	8	6	2
13	1	10	0	0
16	0	8	0	0
1	1	1	19	1
12	2	7	2	0
8	4	8	3	0
0	3	19	1	0
7	2	8	5	1
1	0	5	13	4
0	4	13	6	0
14	0	8	1	0
1	1	12	8	1
0	3	8	10	2
18	2	2	1	0
2	18	0	2	0
6	5	7	4	0
2	16	3	1	0
0	15	3	4	0
9	1	7	5	0
5	0	9	5	3
0	7	9	6	0
0	13	8	1	0
4	1	6	11	0
0	3	16	3	0
0	2	9	8	3
15	0	5	2	0
2	2	5	10	3
15	0	5	2	0
0	2	15	3	2
8	1	5	7	1
4	2	6	6	4
9	5	7	1	0
12	0	7	2	0
0	1	2	16	2
13	5	3	0	0
2	6	9	4	0
12	0	4	5	0
18	0	3	0	0
1	3	10	7	0
0	4	11	6	0
9	3	6	3	0
10	11	0	0	0
0	3	16	2	0
15	2	2	1	1
1	14	6	0	0
0	1	7	10	3
4	13	4	0	0
15	0	3	3	0
6	0	12	3	0
1	2	14	4	0
9	4	5	2	1
0	1	18	2	0
17	0	4	0	0
0	3	2	9	7
18	0	2	0	1
0	4	8	9	0
5	8	6	2	0
15	2	4	0	0
15	2	2	2	0
1	4	7	5	4
13	4	2	2	0
13	0	8	0	0
13	1	6	0	1
11	2	6	2	0
13	1	4	2	0
7	2	8	3	0
0	3	11	5	1
10	1	6	1	2
0	0	4	16	0
1	2	10	7	0
13	0	6	1	0
3	10	3	3	1
11	2	6	1	0
1	3	11	5	0
4	1	12	3	0
12	2	3	3	0
0	9	10	1	0
13	1	4	2	0
6	1	8	5	0
14	0	5	1	0
1	2	7	5	5
3	5	6	6	0
0	6	9	5	0
1	2	14	3	0
0	0	11	9	0
18	0	0	0	2
1	2	1	14	2
0	4	9	7	0
15	2	3	0	0
15	0	3	1	0
11	2	3	3	0
1	0	5	9	4
5	5	4	5	0
0	0	1	17	1
10	1	5	3	0
3	1	13	2	0
9	7	3	0	0
7	2	8	2	0
5	3	9	2	0
1	1	12	4	1
5	0	14	0	0
17	0	0	2	0
12	2	5	0	0
11	0	4	4	0
2	3	3	10	1
9	2	5	3	0
2	0	4	7	6
1	2	11	5	0
0	0	11	6	2
0	0	13	6	0
1	1	13	4	0
12	1	4	0	2
0	6	8	4	1
13	2	3	1	0
0	1	2	13	3
12	2	5	0	0
17	0	2	0	0
11	2	5	1	0
3	4	5	3	3
12	0	6	0	0
2	4	5	7	0
2	4	5	6	1
5	1	6	3	3
17	0	1	0	0
8	0	6	4	0
2	2	4	6	4
6	1	6	5	0
4	0	7	5	2
11	0	6	1	0
0	1	14	3	0
2	0	8	6	2
2	1	2	11	2
7	1	6	2	2
10	0	4	4	0
4	8	2	4	0
1	0	4	11	2
3	2	7	5	1
15	0	2	1	0
11	1	5	0	0
11	0	4	2	0
2	3	7	5	0
2	0	13	1	1
0	2	7	4	4
7	2	4	4	0
1	5	4	6	1
0	0	2	10	5
0	5	4	6	2
1	2	11	3	0
9	0	5	3	0
4	6	4	3	0
0	0	3	13	1
7	1	7	2	0
9	1	5	2	0
4	2	11	0	0
